{'detection': 11.219242334365845, 'recognition': 1.6450881958007812e-05}
{'detection': 0.33023905754089355, 'recognition': 5.0067901611328125e-06}
{'detection': 0.09000658988952637, 'recognition': 5.7220458984375e-06}
{'detection': 0.2650187015533447, 'recognition': 5.0067901611328125e-06}
{'detection': 0.2582879066467285, 'recognition': 5.7220458984375e-06}
{'detection': 0.25567007064819336, 'recognition': 6.67572021484375e-06}
{'detection': 0.26096010208129883, 'recognition': 6.9141387939453125e-06}
{'detection': 0.2726893424987793, 'recognition': 1.5020370483398438e-05}
{'detection': 0.2632908821105957, 'recognition': 4.76837158203125e-06}
{'detection': 0.2603774070739746, 'recognition': 5.0067901611328125e-06}
{'detection': 0.26357460021972656, 'recognition': 6.198883056640625e-06}
{'detection': 0.2618110179901123, 'recognition': 6.67572021484375e-06}
{'detection': 0.2811887264251709, 'recognition': 6.198883056640625e-06}
{'detection': 0.27411603927612305, 'recognition': 6.4373016357421875e-06}
{'detection': 0.09114289283752441, 'recognition': 7.3909759521484375e-06}
{'detection': 0.09157180786132812, 'recognition': 5.4836273193359375e-06}
{'detection': 0.08742761611938477, 'recognition': 9.5367431640625e-06}
{'detection': 0.2661409378051758, 'recognition': 6.9141387939453125e-06}
{'detection': 0.25945472717285156, 'recognition': 5.9604644775390625e-06}
{'detection': 0.09054017066955566, 'recognition': 6.67572021484375e-06}
{'detection': 0.26833295822143555, 'recognition': 4.5299530029296875e-06}
{'detection': 0.26136231422424316, 'recognition': 6.67572021484375e-06}
0.34976496123918693
{'detection': 0.5385096073150635, 'recognition': 0.16411375999450684}
{'detection': 0.08611631393432617, 'recognition': 5.9604644775390625e-06}
{'detection': 0.5456054210662842, 'recognition': 5.9604644775390625e-06}
{'detection': 0.0803520679473877, 'recognition': 7.3909759521484375e-06}
{'detection': 0.2584993839263916, 'recognition': 6.67572021484375e-06}
{'detection': 0.2560851573944092, 'recognition': 6.4373016357421875e-06}
0.4860330743869422
{'detection': 0.08379411697387695, 'recognition': 0.05965423583984375}
{'detection': 0.10805964469909668, 'recognition': 6.4373016357421875e-06}
{'detection': 0.07485628128051758, 'recognition': 4.76837158203125e-06}
{'detection': 0.25884461402893066, 'recognition': 5.7220458984375e-06}
{'detection': 0.07078695297241211, 'recognition': 7.152557373046875e-06}
{'detection': 0.34576916694641113, 'recognition': 5.4836273193359375e-06}
{'detection': 0.26375365257263184, 'recognition': 6.9141387939453125e-06}
{'detection': 0.08715033531188965, 'recognition': 9.059906005859375e-06}
{'detection': 0.08290219306945801, 'recognition': 1.0728836059570312e-05}
{'detection': 0.25746750831604004, 'recognition': 4.76837158203125e-06}
{'detection': 0.08551239967346191, 'recognition': 6.198883056640625e-06}
0.4781609198216201
{'detection': 0.08494186401367188, 'recognition': 0.05864572525024414}
{'detection': 0.1167452335357666, 'recognition': 6.4373016357421875e-06}
{'detection': 0.3582336902618408, 'recognition': 4.76837158203125e-06}
{'detection': 0.26135993003845215, 'recognition': 6.198883056640625e-06}
{'detection': 0.08333659172058105, 'recognition': 6.198883056640625e-06}
{'detection': 0.07927322387695312, 'recognition': 6.4373016357421875e-06}
0.5133288370166098
{'detection': 0.07888245582580566, 'recognition': 0.05967521667480469}
{'detection': 0.11147642135620117, 'recognition': 6.67572021484375e-06}
{'detection': 0.08075189590454102, 'recognition': 6.4373016357421875e-06}
{'detection': 0.07680392265319824, 'recognition': 6.9141387939453125e-06}
{'detection': 0.07518243789672852, 'recognition': 6.198883056640625e-06}
{'detection': 0.07599163055419922, 'recognition': 6.4373016357421875e-06}
{'detection': 0.0729987621307373, 'recognition': 6.67572021484375e-06}
{'detection': 0.07835650444030762, 'recognition': 6.9141387939453125e-06}
{'detection': 0.07173037528991699, 'recognition': 4.5299530029296875e-06}
{'detection': 0.26306939125061035, 'recognition': 6.67572021484375e-06}
{'detection': 0.07300829887390137, 'recognition': 5.0067901611328125e-06}
{'detection': 0.07365155220031738, 'recognition': 4.5299530029296875e-06}
{'detection': 0.07532930374145508, 'recognition': 6.198883056640625e-06}
0.5871143330055598
{'detection': 0.07645463943481445, 'recognition': 0.05865764617919922}
{'detection': 0.10443973541259766, 'recognition': 7.152557373046875e-06}
{'detection': 0.07487130165100098, 'recognition': 7.3909759521484375e-06}
{'detection': 0.07542610168457031, 'recognition': 5.7220458984375e-06}
{'detection': 0.07532215118408203, 'recognition': 6.67572021484375e-06}
{'detection': 0.07944941520690918, 'recognition': 6.67572021484375e-06}
{'detection': 0.06596970558166504, 'recognition': 5.245208740234375e-06}
{'detection': 0.05742907524108887, 'recognition': 7.62939453125e-06}
{'detection': 0.06464242935180664, 'recognition': 6.67572021484375e-06}
{'detection': 0.0629587173461914, 'recognition': 6.67572021484375e-06}
{'detection': 0.2406928539276123, 'recognition': 5.245208740234375e-06}
{'detection': 0.060732364654541016, 'recognition': 6.67572021484375e-06}
{'detection': 0.061994075775146484, 'recognition': 6.4373016357421875e-06}
{'detection': 0.06293010711669922, 'recognition': 6.9141387939453125e-06}
{'detection': 0.06026411056518555, 'recognition': 9.059906005859375e-06}
{'detection': 0.06766223907470703, 'recognition': 6.198883056640625e-06}
{'detection': 0.059459686279296875, 'recognition': 6.4373016357421875e-06}
{'detection': 0.06437015533447266, 'recognition': 4.5299530029296875e-06}
{'detection': 0.25130581855773926, 'recognition': 5.245208740234375e-06}
{'detection': 0.06509208679199219, 'recognition': 5.4836273193359375e-06}
{'detection': 0.06012248992919922, 'recognition': 6.9141387939453125e-06}
{'detection': 0.06870269775390625, 'recognition': 6.9141387939453125e-06}
{'detection': 0.06582808494567871, 'recognition': 8.344650268554688e-06}
{'detection': 0.06877970695495605, 'recognition': 4.76837158203125e-06}
{'detection': 0.24982190132141113, 'recognition': 5.4836273193359375e-06}
{'detection': 0.06436371803283691, 'recognition': 6.198883056640625e-06}
